"FullName","SizeMB","CreationTime","Extension"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111049.jpg","3.61","18-10-2025 00:47:07",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111052.jpg","3.72","18-10-2025 00:47:10",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111056.jpg","3.62","18-10-2025 00:47:11",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111057.jpg","3.59","18-10-2025 00:47:13",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111141.jpg","5.92","18-10-2025 00:47:14",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111158.jpg","6.7","18-10-2025 00:47:15",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111201.jpg","6.71","18-10-2025 00:47:18",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240726_111232.jpg","6.97","18-10-2025 00:47:19",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240727_064139.jpg","3.29","18-10-2025 00:47:21",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240727_075912.jpg","3.67","18-10-2025 00:47:22",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240727_093905.jpg","3.14","18-10-2025 00:47:23",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_075635.jpg","3.69","18-10-2025 00:47:25",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_075637.jpg","3.55","18-10-2025 00:47:27",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_090634.jpg","4.27","18-10-2025 00:47:29",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_090647.jpg","4.72","18-10-2025 00:47:31",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_090700.jpg","3.96","18-10-2025 00:47:33",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_090712.jpg","4.56","18-10-2025 00:47:35",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_093308.jpg","3.01","18-10-2025 00:47:37",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240728_093311.jpg","3.03","18-10-2025 00:47:38",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_075125.jpg","3.79","18-10-2025 00:47:40",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_075128.jpg","3.93","18-10-2025 00:47:41",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_075155.jpg","3.61","18-10-2025 00:47:43",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212320.jpg","3.32","18-10-2025 00:47:45",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212335.jpg","4.75","18-10-2025 00:47:46",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212353.jpg","5.16","18-10-2025 00:47:47",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212354.jpg","5.19","18-10-2025 00:47:49",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212355.jpg","4.85","18-10-2025 00:47:51",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212402.jpg","3.92","18-10-2025 00:47:52",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212410.jpg","3.7","18-10-2025 00:47:54",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212423.jpg","5.79","18-10-2025 00:47:55",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212448.jpg","4.08","18-10-2025 00:47:56",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212450.jpg","3.96","18-10-2025 00:47:58",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212451.jpg","3.75","18-10-2025 00:48:00",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212453.jpg","3.86","18-10-2025 00:48:02",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212455.jpg","4","18-10-2025 00:48:03",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212507.jpg","4.55","18-10-2025 00:48:04",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212512.jpg","3.97","18-10-2025 00:48:06",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212515.jpg","4.02","18-10-2025 00:48:08",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212544.jpg","3.66","18-10-2025 00:48:10",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212546.jpg","3.82","18-10-2025 00:48:11",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212548.jpg","3.73","18-10-2025 00:48:12",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212549.jpg","3.75","18-10-2025 00:48:14",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212551.jpg","3.71","18-10-2025 00:48:16",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212552.jpg","3.88","18-10-2025 00:48:18",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212604.jpg","3.59","18-10-2025 00:48:19",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212617.jpg","3.72","18-10-2025 00:48:20",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212618.jpg","3.57","18-10-2025 00:48:21",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212620.jpg","3.73","18-10-2025 00:48:24",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212621.jpg","3.75","18-10-2025 00:48:25",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212750.jpg","4.83","18-10-2025 00:48:27",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212752.jpg","6.33","18-10-2025 00:48:28",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212757.jpg","7.28","18-10-2025 00:48:29",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212759.jpg","6.45","18-10-2025 00:48:32",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212800.jpg","6.47","18-10-2025 00:48:34",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212802.jpg","6.49","18-10-2025 00:48:35",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212805.jpg","5.89","18-10-2025 00:48:36",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212806.jpg","6.26","18-10-2025 00:48:38",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212808.jpg","6.35","18-10-2025 00:48:41",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212809.jpg","6.35","18-10-2025 00:48:42",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212813.jpg","3.71","18-10-2025 00:48:43",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212815.jpg","3.83","18-10-2025 00:48:44",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212816.jpg","4.29","18-10-2025 00:48:48",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212818.jpg","4.06","18-10-2025 00:48:49",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212821.jpg","3.87","18-10-2025 00:48:50",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212825.jpg","4.36","18-10-2025 00:48:51",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212830.jpg","6.45","18-10-2025 00:48:52",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212856.jpg","4.71","18-10-2025 00:48:54",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212859.jpg","4.24","18-10-2025 00:48:58",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212949.jpg","4.09","18-10-2025 00:48:58",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212951.jpg","4.16","18-10-2025 00:49:00",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_212957.jpg","4.03","18-10-2025 00:49:01",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_213026.jpg","4","18-10-2025 00:49:02",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_213028.jpg","3.75","18-10-2025 00:49:05",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_213030.jpg","3.75","18-10-2025 00:49:07",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_213116.jpg","6.54","18-10-2025 00:49:08",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240730_213159.jpg","3.63","18-10-2025 00:49:09",".jpg"
